subjid activity parameter mean
1 STANDING fBodyAccJerk-std()-Z -0.9923498181132075
1 STANDING fBodyAccMag-mean() -0.9853563611320755
1 STANDING fBodyAccMag-std() -0.9823138047169812
1 STANDING fBodyBodyAccJerkMag-mean() -0.9925424775471698
1 STANDING fBodyBodyAccJerkMag-std() -0.9925360033962264
1 STANDING fBodyBodyGyroJerkMag-mean() -0.9948153769811321
1 STANDING fBodyBodyGyroJerkMag-std() -0.9946711232075471
1 STANDING fBodyBodyGyroMag-mean() -0.9846176233962264
1 STANDING fBodyBodyGyroMag-std() -0.9784660720754716
1 STANDING fBodyGyro-mean()-X -0.9863867860377359
1 STANDING fBodyGyro-mean()-Y -0.9889844558490566
1 STANDING fBodyGyro-mean()-Z -0.9807731228301887
1 STANDING fBodyGyro-std()-X -0.9874971286792453
1 STANDING fBodyGyro-std()-Y -0.9871077277358491
1 STANDING fBodyGyro-std()-Z -0.98234533
1 STANDING tBodyAcc-mean()-X 0.2789176290566038
1 STANDING tBodyAcc-mean()-Y -0.016137590103773584
1 STANDING tBodyAcc-mean()-Z -0.11060181773584905
1 STANDING tBodyAcc-std()-X -0.9957599015094339
1 STANDING tBodyAcc-std()-Y -0.9731900564150944
1 STANDING tBodyAcc-std()-Z -0.9797758769811321
1 STANDING tBodyAccJerk-mean()-X 0.0753766542264151
1 STANDING tBodyAccJerk-mean()-Y 0.007975730928301887
1 STANDING tBodyAccJerk-mean()-Z -0.0036852495470943397
1 STANDING tBodyAccJerk-std()-X -0.994604542264151
1 STANDING tBodyAccJerk-std()-Y -0.9856487324528302
1 STANDING tBodyAccJerk-std()-Z -0.9922511773584906
1 STANDING tBodyAccJerkMag-mean() -0.9923677905660377
1 STANDING tBodyAccJerkMag-std() -0.9930962094339623
1 STANDING tBodyAccMag-mean() -0.9842782073584906
1 STANDING tBodyAccMag-std() -0.9819429288679246
1 STANDING tBodyGyro-mean()-X -0.02398773479792453
1 STANDING tBodyGyro-mean()-Y -0.05939722098113208
1 STANDING tBodyGyro-mean()-Z 0.074800751
1 STANDING tBodyGyro-std()-X -0.9871919466037736
1 STANDING tBodyGyro-std()-Y -0.98773444
1 STANDING tBodyGyro-std()-Z -0.9806456269811321
1 STANDING tBodyGyroJerk-mean()-X -0.09960921290566038
1 STANDING tBodyGyroJerk-mean()-Y -0.04406278779245283
1 STANDING tBodyGyroJerk-mean()-Z -0.04895054667169811
1 STANDING tBodyGyroJerk-std()-X -0.992945106981132
1 STANDING tBodyGyroJerk-std()-Y -0.9951379173584906
1 STANDING tBodyGyroJerk-std()-Z -0.9921084671698113
1 STANDING tBodyGyroJerkMag-mean() -0.9949667905660378
1 STANDING tBodyGyroJerkMag-std() -0.9947332386792452
1 STANDING tBodyGyroMag-mean() -0.9764937928301887
1 STANDING tBodyGyroMag-std() -0.9786900286792453
1 STANDING tGravityAcc-mean()-X 0.9429520003773585
1 STANDING tGravityAcc-mean()-Y -0.27298383226415096
1 STANDING tGravityAcc-mean()-Z 0.01349058232264151
1 STANDING tGravityAcc-std()-X -0.9937629850943396
1 STANDING tGravityAcc-std()-Y -0.9812259579245283
1 STANDING tGravityAcc-std()-Z -0.9763240635849056
1 STANDING tGravityAccMag-mean() -0.9842782073584906
1 STANDING tGravityAccMag-std() -0.9819429288679246
1 WALKING fBodyAcc-mean()-X -0.2027943063263158
1 WALKING fBodyAcc-mean()-Y 0.08971272640210526
1 WALKING fBodyAcc-mean()-Z -0.3315601177894737
1 WALKING fBodyAcc-std()-X -0.31913471957894735
1 WALKING fBodyAcc-std()-Y 0.056040006846
1 WALKING fBodyAcc-std()-Z -0.2796867514947368
1 WALKING fBodyAccJerk-mean()-X -0.17054696454957893
1 WALKING fBodyAccJerk-mean()-Y -0.03522552411306316
1 WALKING fBodyAccJerk-mean()-Z -0.46899922463157895
1 WALKING fBodyAccJerk-std()-X -0.13358660632631578
1 WALKING fBodyAccJerk-std()-Y 0.106739857136
1 WALKING fBodyAccJerk-std()-Z -0.5347134404210526
1 WALKING fBodyAccMag-mean() -0.1286234506294737
1 WALKING fBodyAccMag-std() -0.39803258684210524
1 WALKING fBodyBodyAccJerkMag-mean() -0.05711940003431579
1 WALKING fBodyBodyAccJerkMag-std() -0.10349240300210526
1 WALKING fBodyBodyGyroJerkMag-mean() -0.3193085937789474
1 WALKING fBodyBodyGyroJerkMag-std() -0.38160191178947367
1 WALKING fBodyBodyGyroMag-mean() -0.1992525689863158
1 WALKING fBodyBodyGyroMag-std() -0.32101795389473686
1 WALKING fBodyGyro-mean()-X -0.33903219711578947
1 WALKING fBodyGyro-mean()-Y -0.10305941643473684
1 WALKING fBodyGyro-mean()-Z -0.25594094031578946
1 WALKING fBodyGyro-std()-X -0.5166919387368422
1 WALKING fBodyGyro-std()-Y -0.03350815978842105
1 WALKING fBodyGyro-std()-Z -0.43656222747368423
1 WALKING tBodyAcc-mean()-X 0.2773307587368421
1 WALKING tBodyAcc-mean()-Y -0.017383818527368422
1 WALKING tBodyAcc-mean()-Z -0.11114810354736843
1 WALKING tBodyAcc-std()-X -0.28374025884210524
1 WALKING tBodyAcc-std()-Y 0.11446133674736843
1 WALKING tBodyAcc-std()-Z -0.2600279022105263
1 WALKING tBodyAccJerk-mean()-X 0.07404163331578947
1 WALKING tBodyAccJerk-mean()-Y 0.02827210958842105
1 WALKING tBodyAccJerk-mean()-Z -0.004168406177894738
1 WALKING tBodyAccJerk-std()-X -0.11361560243578947
1 WALKING tBodyAccJerk-std()-Y 0.06700250076842106
1 WALKING tBodyAccJerk-std()-Z -0.5026997885263158
1 WALKING tBodyAccJerkMag-mean() -0.14142880903157895
1 WALKING tBodyAccJerkMag-std() -0.07447175006252632
1 WALKING tBodyAccMag-mean() -0.1369711765568421
1 WALKING tBodyAccMag-std() -0.21968864563157894
1 WALKING tBodyGyro-mean()-X -0.041830963526
1 WALKING tBodyGyro-mean()-Y -0.06953004621157895
1 WALKING tBodyGyro-mean()-Z 0.08494481730421052
1 WALKING tBodyGyro-std()-X -0.4735354858947368
1 WALKING tBodyGyro-std()-Y -0.054607768659473685
1 WALKING tBodyGyro-std()-Z -0.3442666294736842
1 WALKING tBodyGyroJerk-mean()-X -0.08999754237052632
1 WALKING tBodyGyroJerk-mean()-Y -0.03984287094631579
1 WALKING tBodyGyroJerk-mean()-Z -0.04613092950210526
1 WALKING tBodyGyroJerk-std()-X -0.20742185475789474
1 WALKING tBodyGyroJerk-std()-Y -0.3044685106315789
1 WALKING tBodyGyroJerk-std()-Z -0.40425545263157897
1 WALKING tBodyGyroJerkMag-mean() -0.2987036790842105
1 WALKING tBodyGyroJerkMag-std() -0.3253248788947368
1 WALKING tBodyGyroMag-mean() -0.1609795525368421
1 WALKING tBodyGyroMag-std() -0.18697836452631578
1 WALKING tGravityAcc-mean()-X 0.9352232014736842
1 WALKING tGravityAcc-mean()-Y -0.2821650212631579
1 WALKING tGravityAcc-mean()-Z -0.068102864
1 WALKING tGravityAcc-std()-X -0.9766096425263158
1 WALKING tGravityAcc-std()-Y -0.9713059614736842
1 WALKING tGravityAcc-std()-Z -0.9477172261052632
1 WALKING tGravityAccMag-mean() -0.1369711765568421
1 WALKING tGravityAccMag-std() -0.21968864563157894
1 WALKING_DOWNSTAIRS fBodyAcc-mean()-X 0.038229183151020404
1 WALKING_DOWNSTAIRS fBodyAcc-mean()-Y 0.0015499078359183687
1 WALKING_DOWNSTAIRS fBodyAcc-mean()-Z -0.22557447169387754
1 WALKING_DOWNSTAIRS fBodyAcc-std()-X 0.024330839138775512
1 WALKING_DOWNSTAIRS fBodyAcc-std()-Y -0.11296373995306122
1 WALKING_DOWNSTAIRS fBodyAcc-std()-Z -0.29792789469387754
1 WALKING_DOWNSTAIRS fBodyAccJerk-mean()-X -0.0276638676122449
1 WALKING_DOWNSTAIRS fBodyAccJerk-mean()-Y -0.1286671576489796
1 WALKING_DOWNSTAIRS fBodyAccJerk-mean()-Z -0.2883347357142857
1 WALKING_DOWNSTAIRS fBodyAccJerk-std()-X -0.08632789664020409
1 WALKING_DOWNSTAIRS fBodyAccJerk-std()-Y -0.13458000887755103
1 WALKING_DOWNSTAIRS fBodyAccJerk-std()-Z -0.4017214642857143
1 WALKING_DOWNSTAIRS fBodyAccMag-mean() 0.09658453430408163
1 WALKING_DOWNSTAIRS fBodyAccMag-std() -0.18653030107346938
1 WALKING_DOWNSTAIRS fBodyBodyAccJerkMag-mean() 0.026218494932653064
1 WALKING_DOWNSTAIRS fBodyBodyAccJerkMag-std() -0.10405226072653061
1 WALKING_DOWNSTAIRS fBodyBodyGyroJerkMag-mean() -0.281963359177551
1 WALKING_DOWNSTAIRS fBodyBodyGyroJerkMag-std() -0.3919198766122449
1 WALKING_DOWNSTAIRS fBodyBodyGyroMag-mean() -0.18572028574489796
1 WALKING_DOWNSTAIRS fBodyBodyGyroMag-std() -0.398350390122449
1 WALKING_DOWNSTAIRS fBodyGyro-mean()-X -0.3524496313632653
1 WALKING_DOWNSTAIRS fBodyGyro-mean()-Y -0.05570225246938775
1 WALKING_DOWNSTAIRS fBodyGyro-mean()-Z -0.03186942719795918
1 WALKING_DOWNSTAIRS fBodyGyro-std()-X -0.4954224861020408
1 WALKING_DOWNSTAIRS fBodyGyro-std()-Y -0.18141472865714287
1 WALKING_DOWNSTAIRS fBodyGyro-std()-Z -0.23844356530612246
1 WALKING_DOWNSTAIRS tBodyAcc-mean()-X 0.2891883204081633
1 WALKING_DOWNSTAIRS tBodyAcc-mean()-Y -0.009918504610204082
1 WALKING_DOWNSTAIRS tBodyAcc-mean()-Z -0.10756619090816326
1 WALKING_DOWNSTAIRS tBodyAcc-std()-X 0.030035338348387754
1 WALKING_DOWNSTAIRS tBodyAcc-std()-Y -0.03193594344897959
1 WALKING_DOWNSTAIRS tBodyAcc-std()-Z -0.23043421320408164
1 WALKING_DOWNSTAIRS tBodyAccJerk-mean()-X 0.05415531648979592
1 WALKING_DOWNSTAIRS tBodyAccJerk-mean()-Y 0.02965044904081633
1 WALKING_DOWNSTAIRS tBodyAccJerk-mean()-Z -0.010971973018367347
1 WALKING_DOWNSTAIRS tBodyAccJerk-std()-X -0.012283860544897959
1 WALKING_DOWNSTAIRS tBodyAccJerk-std()-Y -0.10160139064081633
1 WALKING_DOWNSTAIRS tBodyAccJerk-std()-Z -0.34573503232653063
1 WALKING_DOWNSTAIRS tBodyAccJerkMag-mean() -0.08944748079795918
1 WALKING_DOWNSTAIRS tBodyAccJerkMag-std() -0.025787719708163265
1 WALKING_DOWNSTAIRS tBodyAccMag-mean() 0.027188291410612245
1 WALKING_DOWNSTAIRS tBodyAccMag-std() 0.01988435062653061
1 WALKING_DOWNSTAIRS tBodyGyro-mean()-X -0.03507819029897959
1 WALKING_DOWNSTAIRS tBodyGyro-mean()-Y -0.09093712902040817
1 WALKING_DOWNSTAIRS tBodyGyro-mean()-Z 0.09008501420306123
1 WALKING_DOWNSTAIRS tBodyGyro-std()-X -0.4580305429387755
1 WALKING_DOWNSTAIRS tBodyGyro-std()-Y -0.1263491949387755
1 WALKING_DOWNSTAIRS tBodyGyro-std()-Z -0.12470245424285714
1 WALKING_DOWNSTAIRS tBodyGyroJerk-mean()-X -0.07395920362714285
1 WALKING_DOWNSTAIRS tBodyGyroJerk-mean()-Y -0.043990278336734696
1 WALKING_DOWNSTAIRS tBodyGyroJerk-mean()-Z -0.027046106106122448
1 WALKING_DOWNSTAIRS tBodyGyroJerk-std()-X -0.48702734224489796
1 WALKING_DOWNSTAIRS tBodyGyroJerk-std()-Y -0.23882482753061224
1 WALKING_DOWNSTAIRS tBodyGyroJerk-std()-Z -0.2687614802428571
1 WALKING_DOWNSTAIRS tBodyGyroJerkMag-mean() -0.29546384334693876
1 WALKING_DOWNSTAIRS tBodyGyroJerkMag-std() -0.30651064553061225
1 WALKING_DOWNSTAIRS tBodyGyroMag-mean() -0.07574125436734694
1 WALKING_DOWNSTAIRS tBodyGyroMag-std() -0.22572436806122448
1 WALKING_DOWNSTAIRS tGravityAcc-mean()-X 0.9318744189795918
1 WALKING_DOWNSTAIRS tGravityAcc-mean()-Y -0.26661033897959185
1 WALKING_DOWNSTAIRS tGravityAcc-mean()-Z -0.06211995859387755
1 WALKING_DOWNSTAIRS tGravityAcc-std()-X -0.950559811632653
1 WALKING_DOWNSTAIRS tGravityAcc-std()-Y -0.9370186589795918
1 WALKING_DOWNSTAIRS tGravityAcc-std()-Z -0.8959396951020409
1 WALKING_DOWNSTAIRS tGravityAccMag-mean() 0.027188291410612245
1 WALKING_DOWNSTAIRS tGravityAccMag-std() 0.01988435062653061
1 WALKING_UPSTAIRS fBodyAcc-mean()-X -0.4043217841509434
1 WALKING_UPSTAIRS fBodyAcc-mean()-Y -0.19097672081132075
1 WALKING_UPSTAIRS fBodyAcc-mean()-Z -0.4333497020754717
1 WALKING_UPSTAIRS fBodyAcc-std()-X -0.3374281886792453
1 WALKING_UPSTAIRS fBodyAcc-std()-Y 0.021769510656603774
1 WALKING_UPSTAIRS fBodyAcc-std()-Z 0.08595655438490565
1 WALKING_UPSTAIRS fBodyAccJerk-mean()-X -0.47987524566037737
1 WALKING_UPSTAIRS fBodyAccJerk-mean()-Y -0.41344458754716984
1 WALKING_UPSTAIRS fBodyAccJerk-mean()-Z -0.6854743539622642
1 WALKING_UPSTAIRS fBodyAccJerk-std()-X -0.46190702584905663
1 WALKING_UPSTAIRS fBodyAccJerk-std()-Y -0.38177706528301886
1 WALKING_UPSTAIRS fBodyAccJerk-std()-Z -0.726040200754717
1 WALKING_UPSTAIRS fBodyAccMag-mean() -0.35239594471698116
1 WALKING_UPSTAIRS fBodyAccMag-std() -0.41626010150943393
1 WALKING_UPSTAIRS fBodyBodyAccJerkMag-mean() -0.4426521624528302
1 WALKING_UPSTAIRS fBodyBodyAccJerkMag-std() -0.5330598537735849
1 WALKING_UPSTAIRS fBodyBodyGyroJerkMag-mean() -0.6346650820754717
1 WALKING_UPSTAIRS fBodyBodyGyroJerkMag-std() -0.693930521509434
1 WALKING_UPSTAIRS fBodyBodyGyroMag-mean() -0.3259614573962264
1 WALKING_UPSTAIRS fBodyBodyGyroMag-std() -0.18298551826415094
1 WALKING_UPSTAIRS fBodyGyro-mean()-X -0.4926116679245283
1 WALKING_UPSTAIRS fBodyGyro-mean()-Y -0.3194746090566038
1 WALKING_UPSTAIRS fBodyGyro-mean()-Z -0.4535972130188679
1 WALKING_UPSTAIRS fBodyGyro-std()-X -0.565892490754717
1 WALKING_UPSTAIRS fBodyGyro-std()-Y 0.15153890556603775
1 WALKING_UPSTAIRS fBodyGyro-std()-Z -0.57170784
1 WALKING_UPSTAIRS tBodyAcc-mean()-X 0.2554616896226415
1 WALKING_UPSTAIRS tBodyAcc-mean()-Y -0.023953149264339623
1 WALKING_UPSTAIRS tBodyAcc-mean()-Z -0.09730200209433962
1 WALKING_UPSTAIRS tBodyAcc-std()-X -0.35470802509433963
1 WALKING_UPSTAIRS tBodyAcc-std()-Y -0.0023202650169811324
1 WALKING_UPSTAIRS tBodyAcc-std()-Z -0.019479238847169813
1 WALKING_UPSTAIRS tBodyAccJerk-mean()-X 0.10137272992264151
1 WALKING_UPSTAIRS tBodyAccJerk-mean()-Y 0.019486307618867927
1 WALKING_UPSTAIRS tBodyAccJerk-mean()-Z -0.04556254491132076
1 WALKING_UPSTAIRS tBodyAccJerk-std()-X -0.44684388773584904
1 WALKING_UPSTAIRS tBodyAccJerk-std()-Y -0.37827442603773587
1 WALKING_UPSTAIRS tBodyAccJerk-std()-Z -0.7065935309433963
1 WALKING_UPSTAIRS tBodyAccJerkMag-mean() -0.4665034462264151
1 WALKING_UPSTAIRS tBodyAccJerkMag-std() -0.4789916220754717
1 WALKING_UPSTAIRS tBodyAccMag-mean() -0.12992763073584906
1 WALKING_UPSTAIRS tBodyAccMag-std() -0.32497092924528304
1 WALKING_UPSTAIRS tBodyGyro-mean()-X 0.05054937975471698
1 WALKING_UPSTAIRS tBodyGyro-mean()-Y -0.16617001508867923
1 WALKING_UPSTAIRS tBodyGyro-mean()-Z 0.05835954639811321
1 WALKING_UPSTAIRS tBodyGyro-std()-X -0.5448711045283019
1 WALKING_UPSTAIRS tBodyGyro-std()-Y 0.0041051837981132076
1 WALKING_UPSTAIRS tBodyGyro-std()-Z -0.5071686749056604
1 WALKING_UPSTAIRS tBodyGyroJerk-mean()-X -0.12223276801132076
1 WALKING_UPSTAIRS tBodyGyroJerk-mean()-Y -0.042148588450943394
1 WALKING_UPSTAIRS tBodyGyroJerk-mean()-Z -0.0407125527654717
1 WALKING_UPSTAIRS tBodyGyroJerk-std()-X -0.614786508490566
1 WALKING_UPSTAIRS tBodyGyroJerk-std()-Y -0.6016966562264151
1 WALKING_UPSTAIRS tBodyGyroJerk-std()-Z -0.606332002264151
1 WALKING_UPSTAIRS tBodyGyroJerkMag-mean() -0.5948828650943396
1 WALKING_UPSTAIRS tBodyGyroJerkMag-std() -0.6485530443396227
1 WALKING_UPSTAIRS tBodyGyroMag-mean() -0.12673558996981132
1 WALKING_UPSTAIRS tBodyGyroMag-std() -0.14861931805283018
1 WALKING_UPSTAIRS tGravityAcc-mean()-X 0.8933510975471698
1 WALKING_UPSTAIRS tGravityAcc-mean()-Y -0.36215336433962264
1 WALKING_UPSTAIRS tGravityAcc-mean()-Z -0.07540293975471699
1 WALKING_UPSTAIRS tGravityAcc-std()-X -0.9563670279245283
1 WALKING_UPSTAIRS tGravityAcc-std()-Y -0.9528492332075472
1 WALKING_UPSTAIRS tGravityAcc-std()-Z -0.9123794103773585
1 WALKING_UPSTAIRS tGravityAccMag-mean() -0.12992763073584906
1 WALKING_UPSTAIRS tGravityAccMag-std() -0.32497092924528304
2 LAYING fBodyAcc-mean()-X -0.9767250597916667
2 LAYING fBodyAcc-mean()-Y -0.9798008779166667
2 LAYING fBodyAcc-mean()-Z -0.984380981875
2 LAYING fBodyAcc-std()-X -0.9732464820833333
2 LAYING fBodyAcc-std()-Y -0.981025105625
2 LAYING fBodyAcc-std()-Z -0.984792185
2 LAYING fBodyAccJerk-mean()-X -0.9858136308333333
2 LAYING fBodyAccJerk-mean()-Y -0.9827682504166667
2 LAYING fBodyAccJerk-mean()-Z -0.9861971345833334
2 LAYING fBodyAccJerk-std()-X -0.9872502558333334
2 LAYING fBodyAccJerk-std()-Y -0.9849873929166667
2 LAYING fBodyAccJerk-std()-Z -0.9893453685416667
2 LAYING fBodyAccMag-mean() -0.9751101964583333
2 LAYING fBodyAccMag-std() -0.9751213879166667
2 LAYING fBodyBodyAccJerkMag-mean() -0.9853741147916667
2 LAYING fBodyBodyAccJerkMag-std() -0.9845684891666666
2 LAYING fBodyBodyGyroJerkMag-mean() -0.9902487022916666
2 LAYING fBodyBodyGyroJerkMag-std() -0.9894926604166667
2 LAYING fBodyBodyGyroMag-mean() -0.9721129727083333
2 LAYING fBodyBodyGyroMag-std() -0.96109837875
2 LAYING fBodyGyro-mean()-X -0.9864311425
2 LAYING fBodyGyro-mean()-Y -0.9833216354166666
2 LAYING fBodyGyro-mean()-Z -0.9626718875
2 LAYING fBodyGyro-std()-X -0.9888606858333333
2 LAYING fBodyGyro-std()-Y -0.9819106164583333
2 LAYING fBodyGyro-std()-Z -0.9631742222916667
2 LAYING tBodyAcc-mean()-X 0.2813734039583333
2 LAYING tBodyAcc-mean()-Y -0.018158739758333334
2 LAYING tBodyAcc-mean()-Z -0.10724561041666666
2 LAYING tBodyAcc-std()-X -0.9740594647916667
